sr-rs,cs-cz,"1. Симфонија","Symfonie č. 1"
sr-rs,cs-cz,"1. август","1. srpen"
sr-rs,cs-cz,"1. април","1. duben"
sr-rs,cs-cz,"1. век","1. století"
sr-rs,cs-cz,"1. децембар","1. prosinec"
sr-rs,cs-cz,"1. март","1. březen"
sr-rs,cs-cz,"1. мај","1. květen"
sr-rs,cs-cz,"1. новембар","1. listopad"
sr-rs,cs-cz,"1. октобар","1. říjen"
sr-rs,cs-cz,"1. п. н. е.","1 př. n. l."
sr-rs,cs-cz,"1. пне.","1 př. n. l."
sr-rs,cs-cz,"1. септембар","1. září"
sr-rs,cs-cz,"1. фебруар","1. únor"
sr-rs,cs-cz,"1. јануар","1. leden"
sr-rs,cs-cz,"1. јул","1. červenec"
sr-rs,cs-cz,"1. јун","1. červen"
sr-rs,cs-cz,"10. август","10. srpen"
sr-rs,cs-cz,"10. април","10. duben"
sr-rs,cs-cz,"10. век п. н. е.","10. století př. n. l."
sr-rs,cs-cz,"10. век пне.","10. století př. n. l."
sr-rs,cs-cz,"10. век","10. století"
sr-rs,cs-cz,"10. група хемијских елемената","10. skupina"
sr-rs,cs-cz,"10. децембар","10. prosinec"
sr-rs,cs-cz,"10. март","10. březen"
sr-rs,cs-cz,"10. мај","10. květen"
sr-rs,cs-cz,"10. миленијум п. н. е.","10. tisíciletí př. n. l."
sr-rs,cs-cz,"10. новембар","10. listopad"
sr-rs,cs-cz,"10. октобар","10. říjen"
sr-rs,cs-cz,"10. п. н. е.","10 př. n. l."
sr-rs,cs-cz,"10. септембар","10. září"
sr-rs,cs-cz,"10. фебруар","10. únor"
sr-rs,cs-cz,"10. јануар","10. leden"
sr-rs,cs-cz,"10. јул","10. červenec"
sr-rs,cs-cz,"10. јун","10. červen"
sr-rs,cs-cz,"100. век пне.","10. tisíciletí př. n. l."
sr-rs,cs-cz,"100. п. н. е.","100 př. n. l."
sr-rs,cs-cz,"1000. п. н. е.","1000 př. n. l."
sr-rs,cs-cz,"1000. пне.","1000 př. n. l."
sr-rs,cs-cz,"101. п. н. е.","101 př. n. l."
sr-rs,cs-cz,"102. п. н. е.","102 př. n. l."
sr-rs,cs-cz,"103. п. н. е.","103 př. n. l."
sr-rs,cs-cz,"104. п. н. е.","104 př. n. l."
sr-rs,cs-cz,"105. п. н. е.","105 př. n. l."
sr-rs,cs-cz,"106. п. н. е.","106 př. n. l."
sr-rs,cs-cz,"107. п. н. е.","107 př. n. l."
sr-rs,cs-cz,"108. п. н. е.","108 př. n. l."
sr-rs,cs-cz,"109. п. н. е.","109 př. n. l."
sr-rs,cs-cz,"11. СС добровољачка панцергренадирска дивизија Северна земља","11. SS-Freiwilligen Panzergrenadier Division „Nordland“"
sr-rs,cs-cz,"11. август","11. srpen"
sr-rs,cs-cz,"11. април","11. duben"
sr-rs,cs-cz,"11. век п. н. е.","11. století př. n. l."
sr-rs,cs-cz,"11. век","11. století"
sr-rs,cs-cz,"11. децембар","11. prosinec"
sr-rs,cs-cz,"11. март","11. březen"
sr-rs,cs-cz,"11. мај","11. květen"
sr-rs,cs-cz,"11. новембар","11. listopad"
sr-rs,cs-cz,"11. октобар","11. říjen"
sr-rs,cs-cz,"11. п. н. е.","11 př. n. l."
sr-rs,cs-cz,"11. септембар","11. září"
sr-rs,cs-cz,"11. фебруар","11. únor"
sr-rs,cs-cz,"11. јануар","11. leden"
sr-rs,cs-cz,"11. јул","11. červenec"
sr-rs,cs-cz,"11. јун","11. červen"
sr-rs,cs-cz,"110. п. н. е.","110 př. n. l."
sr-rs,cs-cz,"111. п. н. е.","111 př. n. l."
sr-rs,cs-cz,"112. п. н. е.","112 př. n. l."
sr-rs,cs-cz,"113. п. н. е.","113 př. n. l."
sr-rs,cs-cz,"114. п. н. е.","114 př. n. l."
sr-rs,cs-cz,"115. п. н. е.","115 př. n. l."
sr-rs,cs-cz,"116. п. н. е.","116 př. n. l."
sr-rs,cs-cz,"117. п. н. е.","117 př. n. l."
sr-rs,cs-cz,"118. п. н. е.","118 př. n. l."
sr-rs,cs-cz,"119. п. н. е.","119 př. n. l."
sr-rs,cs-cz,"12. август","12. srpen"
sr-rs,cs-cz,"12. април","12. duben"
sr-rs,cs-cz,"12. век","12. století"
sr-rs,cs-cz,"12. група хемијских елемената","12. skupina"
sr-rs,cs-cz,"12. децембар","12. prosinec"
sr-rs,cs-cz,"12. март","12. březen"
sr-rs,cs-cz,"12. мај","12. květen"
sr-rs,cs-cz,"12. новембар","12. listopad"
sr-rs,cs-cz,"12. октобар","12. říjen"
sr-rs,cs-cz,"12. п. н. е.","12 př. n. l."
sr-rs,cs-cz,"12. септембар","12. září"
sr-rs,cs-cz,"12. фебруар","12. únor"
sr-rs,cs-cz,"12. јануар","12. leden"
sr-rs,cs-cz,"12. јул","12. červenec"
sr-rs,cs-cz,"12. јун","12. červen"
sr-rs,cs-cz,"120. п. н. е.","120 př. n. l."
sr-rs,cs-cz,"1200. пне.","1200 př. n. l."
sr-rs,cs-cz,"121. п. н. е.","121 př. n. l."
sr-rs,cs-cz,"122. п. н. е.","122 př. n. l."
sr-rs,cs-cz,"123. п. н. е.","123 př. n. l."
sr-rs,cs-cz,"124. п. н. е.","124 př. n. l."
sr-rs,cs-cz,"125. п. н. е.","125 př. n. l."
sr-rs,cs-cz,"126. п. н. е.","126 př. n. l."
sr-rs,cs-cz,"127. п. н. е.","127 př. n. l."
sr-rs,cs-cz,"128. п. н. е.","128 př. n. l."
sr-rs,cs-cz,"129. п. н. е.","129 př. n. l."
sr-rs,cs-cz,"13. август","13. srpen"
sr-rs,cs-cz,"13. април","13. duben"
sr-rs,cs-cz,"13. век","13. století"
sr-rs,cs-cz,"13. група хемијских елемената",Triely
sr-rs,cs-cz,"13. децембар","13. prosinec"
sr-rs,cs-cz,"13. март","13. březen"
sr-rs,cs-cz,"13. мај","13. květen"
sr-rs,cs-cz,"13. новембар","13. listopad"
sr-rs,cs-cz,"13. октобар","13. říjen"
sr-rs,cs-cz,"13. п. н. е.","13 př. n. l."
sr-rs,cs-cz,"13. септембар","13. září"
sr-rs,cs-cz,"13. фебруар","13. únor"
sr-rs,cs-cz,"13. јануар","13. leden"
sr-rs,cs-cz,"13. јул","13. červenec"
sr-rs,cs-cz,"13. јун","13. červen"
sr-rs,cs-cz,"130. п. н. е.","130 př. n. l."
sr-rs,cs-cz,"131. п. н. е.","131 př. n. l."
sr-rs,cs-cz,"132. п. н. е.","132 př. n. l."
sr-rs,cs-cz,"133. п. н. е.","133 př. n. l."
sr-rs,cs-cz,"134. п. н. е.","134 př. n. l."
sr-rs,cs-cz,"135. п. н. е.","135 př. n. l."
sr-rs,cs-cz,"136. п. н. е.","136 př. n. l."
sr-rs,cs-cz,"137. п. н. е.","137 př. n. l."
sr-rs,cs-cz,"138. п. н. е.","138 př. n. l."
sr-rs,cs-cz,"139. п. н. е.","139 př. n. l."
sr-rs,cs-cz,"14. август","14. srpen"
sr-rs,cs-cz,"14. април","14. duben"
sr-rs,cs-cz,"14. век п. н. е.","14. století př. n. l."
sr-rs,cs-cz,"14. век","14. století"
sr-rs,cs-cz,"14. група хемијских елемената",Tetrely
sr-rs,cs-cz,"14. децембар","14. prosinec"
sr-rs,cs-cz,"14. март","14. březen"
sr-rs,cs-cz,"14. мај","14. květen"
sr-rs,cs-cz,"14. новембар","14. listopad"
sr-rs,cs-cz,"14. октобар","14. říjen"
sr-rs,cs-cz,"14. п. н. е.","14 př. n. l."
sr-rs,cs-cz,"14. септембар","14. září"
sr-rs,cs-cz,"14. фебруар","14. únor"
sr-rs,cs-cz,"14. јануар","14. leden"
sr-rs,cs-cz,"14. јул","14. červenec"
sr-rs,cs-cz,"14. јун","14. červen"
sr-rs,cs-cz,"140. п. н. е.","140 př. n. l."
sr-rs,cs-cz,"141. п. н. е.","141 př. n. l."
sr-rs,cs-cz,"142. п. н. е.","142 př. n. l."
sr-rs,cs-cz,"143. п. н. е.","143 př. n. l."
sr-rs,cs-cz,"144. п. н. е.","144 př. n. l."
sr-rs,cs-cz,"145. п. н. е.","145 př. n. l."
sr-rs,cs-cz,"146. п. н. е.","146 př. n. l."
sr-rs,cs-cz,"147. п. н. е.","147 př. n. l."
sr-rs,cs-cz,"148. п. н. е.","148 př. n. l."
sr-rs,cs-cz,"149. п. н. е.","149 př. n. l."
sr-rs,cs-cz,"15. август","15. srpen"
sr-rs,cs-cz,"15. април","15. duben"
sr-rs,cs-cz,"15. век п. н. е.","15. století př. n. l."
sr-rs,cs-cz,"15. век","15. století"
sr-rs,cs-cz,"15. група хемијских елемената",Pentely
sr-rs,cs-cz,"15. децембар","15. prosinec"
sr-rs,cs-cz,"15. март","15. březen"
sr-rs,cs-cz,"15. мај","15. květen"
sr-rs,cs-cz,"15. новембар","15. listopad"
sr-rs,cs-cz,"15. октобар","15. říjen"
sr-rs,cs-cz,"15. п. н. е.","15 př. n. l."
sr-rs,cs-cz,"15. септембар","15. září"
sr-rs,cs-cz,"15. фебруар","15. únor"
sr-rs,cs-cz,"15. јануар","15. leden"
sr-rs,cs-cz,"15. јул","15. červenec"
sr-rs,cs-cz,"15. јун","15. červen"
sr-rs,cs-cz,"150. п. н. е.","150 př. n. l."
sr-rs,cs-cz,"1500. пне.","1500 př. n. l."
sr-rs,cs-cz,"151. п. н. е.","151 př. n. l."
sr-rs,cs-cz,"152. п. н. е.","152 př. n. l."
sr-rs,cs-cz,"153. п. н. е.","153 př. n. l."
sr-rs,cs-cz,"154. п. н. е.","154 př. n. l."
sr-rs,cs-cz,"155. п. н. е.","155 př. n. l."
sr-rs,cs-cz,"156. п. н. е.","156 př. n. l."
sr-rs,cs-cz,"157. п. н. е.","157 př. n. l."
sr-rs,cs-cz,"158. п. н. е.","158 př. n. l."
sr-rs,cs-cz,"159. п. н. е.","159 př. n. l."
sr-rs,cs-cz,"16. август","16. srpen"
sr-rs,cs-cz,"16. април","16. duben"
sr-rs,cs-cz,"16. век п. н. е.","16. století př. n. l."
sr-rs,cs-cz,"16. век пне.","16. století př. n. l."
sr-rs,cs-cz,"16. век","16. století"
sr-rs,cs-cz,"16. група хемијских елемената",Chalkogen
sr-rs,cs-cz,"16. децембар","16. prosinec"
sr-rs,cs-cz,"16. март","16. březen"
sr-rs,cs-cz,"16. мај","16. květen"
sr-rs,cs-cz,"16. новембар","16. listopad"
sr-rs,cs-cz,"16. октобар","16. říjen"
sr-rs,cs-cz,"16. п. н. е.","16 př. n. l."
sr-rs,cs-cz,"16. септембар","16. září"
sr-rs,cs-cz,"16. фебруар","16. únor"
sr-rs,cs-cz,"16. јануар","16. leden"
sr-rs,cs-cz,"16. јул","16. červenec"
sr-rs,cs-cz,"16. јун","16. červen"
sr-rs,cs-cz,"160. п. н. е.","160 př. n. l."
sr-rs,cs-cz,"161. п. н. е.","161 př. n. l."
sr-rs,cs-cz,"162. п. н. е.","162 př. n. l."
sr-rs,cs-cz,"163. п. н. е.","163 př. n. l."
sr-rs,cs-cz,"164. п. н. е.","164 př. n. l."
sr-rs,cs-cz,"165. п. н. е.","165 př. n. l."
sr-rs,cs-cz,"166. п. н. е.","166 př. n. l."
sr-rs,cs-cz,"167. п. н. е.","167 př. n. l."
sr-rs,cs-cz,"168. п. н. е.","168 př. n. l."
sr-rs,cs-cz,"169. п. н. е.","169 př. n. l."
sr-rs,cs-cz,"17. август","17. srpen"
sr-rs,cs-cz,"17. април","17. duben"
sr-rs,cs-cz,"17. век п. н. е.","17. století př. n. l."
sr-rs,cs-cz,"17. век","17. století"
sr-rs,cs-cz,"17. децембар","17. prosinec"
sr-rs,cs-cz,"17. март","17. březen"
sr-rs,cs-cz,"17. мај","17. květen"
sr-rs,cs-cz,"17. новембар","17. listopad"
sr-rs,cs-cz,"17. октобар","17. říjen"
sr-rs,cs-cz,"17. п. н. е.","17 př. n. l."
sr-rs,cs-cz,"17. септембар","17. září"
sr-rs,cs-cz,"17. фебруар","17. únor"
sr-rs,cs-cz,"17. јануар","17. leden"
sr-rs,cs-cz,"17. јул","17. červenec"
sr-rs,cs-cz,"17. јун","17. červen"
sr-rs,cs-cz,"170. п. н. е.","170 př. n. l."
sr-rs,cs-cz,"171. п. н. е.","171 př. n. l."
sr-rs,cs-cz,"1713. пне.","18. století př. n. l."
sr-rs,cs-cz,"172. п. н. е.","172 př. n. l."
sr-rs,cs-cz,"173. п. н. е.","173 př. n. l."
sr-rs,cs-cz,"174. п. н. е.","174 př. n. l."
sr-rs,cs-cz,"175. п. н. е.","175 př. n. l."
sr-rs,cs-cz,"176. п. н. е.","176 př. n. l."
sr-rs,cs-cz,"177. п. н. е.","177 př. n. l."
sr-rs,cs-cz,"178. п. н. е.","178 př. n. l."
sr-rs,cs-cz,"179. п. н. е.","179 př. n. l."
sr-rs,cs-cz,"18. август","18. srpen"
sr-rs,cs-cz,"18. април","18. duben"
sr-rs,cs-cz,"18. век п. н. е.","18. století př. n. l."
sr-rs,cs-cz,"18. век пне.","18. století př. n. l."
sr-rs,cs-cz,"18. век","18. století"
sr-rs,cs-cz,"18. децембар","18. prosinec"
sr-rs,cs-cz,"18. март","18. březen"
sr-rs,cs-cz,"18. мај","18. květen"
sr-rs,cs-cz,"18. новембар","18. listopad"
sr-rs,cs-cz,"18. октобар","18. říjen"
sr-rs,cs-cz,"18. п. н. е.","18 př. n. l."
sr-rs,cs-cz,"18. септембар","18. září"
sr-rs,cs-cz,"18. фебруар","18. únor"
sr-rs,cs-cz,"18. јануар","18. leden"
sr-rs,cs-cz,"18. јул","18. červenec"
sr-rs,cs-cz,"18. јун","18. červen"
sr-rs,cs-cz,"180. п. н. е.","180 př. n. l."
sr-rs,cs-cz,"1801. пне.","19. století př. n. l."
sr-rs,cs-cz,"181. п. н. е.","181 př. n. l."
sr-rs,cs-cz,"182. п. н. е.","182 př. n. l."
sr-rs,cs-cz,"183. п. н. е.","183 př. n. l."
sr-rs,cs-cz,"184. п. н. е.","184 př. n. l."
sr-rs,cs-cz,"185. п. н. е.","185 př. n. l."
sr-rs,cs-cz,"186. п. н. е.","186 př. n. l."
