be-by,pt-pt,"1 верасня","1 de Setembro"
be-by,pt-pt,"1 верасьня","1 de Setembro"
be-by,pt-pt,"1 жніўня","1 de Agosto"
be-by,pt-pt,"1 кастрычніка","1 de Outubro"
be-by,pt-pt,"1 красавіка","1 de Abril"
be-by,pt-pt,"1 лютага","1 de Fevereiro"
be-by,pt-pt,"1 ліпеня","1 de Julho"
be-by,pt-pt,"1 лістапада","1 de Novembro"
be-by,pt-pt,"1 мая","1 de Maio"
be-by,pt-pt,"1 сакавіка","1 de Março"
be-by,pt-pt,"1 снежня","1 de Dezembro"
be-by,pt-pt,"1 стагоддзе да н.э.","Século I a.C."
be-by,pt-pt,"1 стагоддзе","Século I"
be-by,pt-pt,"1 студзеня","1 de Janeiro"
be-by,pt-pt,"1 траўня","1 de Maio"
be-by,pt-pt,"1 чэрвеня","1 de Junho"
be-by,pt-pt,"10 верасня","10 de Setembro"
be-by,pt-pt,"10 верасьня","10 de Setembro"
be-by,pt-pt,"10 жніўня","10 de Agosto"
be-by,pt-pt,"10 кастрычніка","10 de Outubro"
be-by,pt-pt,"10 красавіка","10 de Abril"
be-by,pt-pt,"10 лютага","10 de Fevereiro"
be-by,pt-pt,"10 ліпеня","10 de Julho"
be-by,pt-pt,"10 лістапада","10 de Novembro"
be-by,pt-pt,"10 мая","10 de Maio"
be-by,pt-pt,"10 сакавіка","10 de Março"
be-by,pt-pt,"10 снежня","10 de Dezembro"
be-by,pt-pt,"10 стагоддзе да н.э.","Século X a.C."
be-by,pt-pt,"10 стагоддзе","Século X"
be-by,pt-pt,"10 студзеня","10 de Janeiro"
be-by,pt-pt,"10 траўня","10 de Maio"
be-by,pt-pt,"10 чэрвеня","10 de Junho"
be-by,pt-pt,"11 верасня","11 de Setembro"
be-by,pt-pt,"11 жніўня","11 de Agosto"
be-by,pt-pt,"11 кастрычніка","11 de Outubro"
be-by,pt-pt,"11 красавіка","11 de Abril"
be-by,pt-pt,"11 лютага","11 de Fevereiro"
be-by,pt-pt,"11 ліпеня","11 de Julho"
be-by,pt-pt,"11 лістапада","11 de Novembro"
be-by,pt-pt,"11 мая","11 de Maio"
be-by,pt-pt,"11 сакавіка","11 de Março"
be-by,pt-pt,"11 снежня","11 de Dezembro"
be-by,pt-pt,"11 стагоддзе да н.э.","Século XI a.C."
be-by,pt-pt,"11 стагоддзе","Século XI"
be-by,pt-pt,"11 студзеня","11 de Janeiro"
be-by,pt-pt,"11 сьнежня","11 de Dezembro"
be-by,pt-pt,"11 траўня","11 de Maio"
be-by,pt-pt,"11 чэрвеня","11 de Junho"
be-by,pt-pt,"12 верасня","12 de Setembro"
be-by,pt-pt,"12 верасьня","12 de Setembro"
be-by,pt-pt,"12 жніўня","12 de Agosto"
be-by,pt-pt,"12 кастрычніка","12 de Outubro"
be-by,pt-pt,"12 красавіка","12 de Abril"
be-by,pt-pt,"12 лютага","12 de Fevereiro"
be-by,pt-pt,"12 ліпеня","12 de Julho"
be-by,pt-pt,"12 лістапада","12 de Novembro"
be-by,pt-pt,"12 мая","12 de Maio"
be-by,pt-pt,"12 сакавіка","12 de Março"
be-by,pt-pt,"12 снежня","12 de Dezembro"
be-by,pt-pt,"12 стагоддзе да н.э.","Século XII a.C."
be-by,pt-pt,"12 стагоддзе","Século XII"
be-by,pt-pt,"12 студзеня","12 de Janeiro"
be-by,pt-pt,"12 траўня","12 de Maio"
be-by,pt-pt,"12 чэрвеня","12 de Junho"
be-by,pt-pt,"13 верасня","13 de Setembro"
be-by,pt-pt,"13 верасьня","13 de Setembro"
be-by,pt-pt,"13 жніўня","13 de Agosto"
be-by,pt-pt,"13 кастрычніка","13 de Outubro"
be-by,pt-pt,"13 красавіка","13 de Abril"
be-by,pt-pt,"13 лютага","13 de Fevereiro"
be-by,pt-pt,"13 ліпеня","13 de Julho"
be-by,pt-pt,"13 лістапада","13 de Novembro"
be-by,pt-pt,"13 мая","13 de Maio"
be-by,pt-pt,"13 сакавіка","13 de Março"
be-by,pt-pt,"13 снежня","13 de Dezembro"
be-by,pt-pt,"13 стагоддзе да н.э.","Século XIII a.C."
be-by,pt-pt,"13 стагоддзе","Século XIII"
be-by,pt-pt,"13 студзеня","13 de Janeiro"
be-by,pt-pt,"13 траўня","13 de Maio"
be-by,pt-pt,"13 чэрвеня","13 de Junho"
be-by,pt-pt,"14 верасня","14 de Setembro"
be-by,pt-pt,"14 верасьня","14 de Setembro"
be-by,pt-pt,"14 жніўня","14 de Agosto"
be-by,pt-pt,"14 кастрычніка","14 de Outubro"
be-by,pt-pt,"14 красавіка","14 de Abril"
be-by,pt-pt,"14 лютага","14 de Fevereiro"
be-by,pt-pt,"14 ліпеня","14 de Julho"
be-by,pt-pt,"14 лістапада","14 de Novembro"
be-by,pt-pt,"14 мая","14 de Maio"
be-by,pt-pt,"14 сакавіка","14 de Março"
be-by,pt-pt,"14 снежня","14 de Dezembro"
be-by,pt-pt,"14 стагоддзе да н.э.","Século XIV a.C."
be-by,pt-pt,"14 стагоддзе","Século XIV"
be-by,pt-pt,"14 студзеня","14 de Janeiro"
be-by,pt-pt,"14 сьнежня","14 de Dezembro"
be-by,pt-pt,"14 траўня","14 de Maio"
be-by,pt-pt,"14 чэрвеня","14 de Junho"
be-by,pt-pt,"146 да н.э.","146 a.C."
be-by,pt-pt,"15 верасня","15 de Setembro"
be-by,pt-pt,"15 верасьня","15 de Setembro"
be-by,pt-pt,"15 жніўня","15 de Agosto"
be-by,pt-pt,"15 кастрычніка","15 de Outubro"
be-by,pt-pt,"15 красавіка","15 de Abril"
