nl-nl,da-dk,"""O""",O
nl-nl,da-dk,"'Allo 'Allo","'Allo 'Allo!"
nl-nl,da-dk,"'m smeren",Forsvinde
nl-nl,da-dk,"'s avonds","Om aftenen"
nl-nl,da-dk,"...And Justice for All","...And Justice for All"
nl-nl,da-dk,"...Baby One More Time","...Baby One More Time"
nl-nl,da-dk,".45 ACP",".45 ACP"
nl-nl,da-dk,".NET Framework 3.0",".NET Framework 3.0"
nl-nl,da-dk,"1 april","1. april"
nl-nl,da-dk,"1 aprilgrap",Aprilsnar
nl-nl,da-dk,"1 augustus","1. august"
nl-nl,da-dk,"1 december","1. december"
nl-nl,da-dk,"1 februari","1. februar"
nl-nl,da-dk,"1 januari","1. januar"
nl-nl,da-dk,"1 juli","1. juli"
nl-nl,da-dk,"1 juni","1. juni"
nl-nl,da-dk,"1 maart","1. marts"
nl-nl,da-dk,"1 mei","1. maj"
nl-nl,da-dk,"1 november","1. november"
nl-nl,da-dk,"1 oktober","1. oktober"
nl-nl,da-dk,"1 september","1. september"
nl-nl,da-dk,"1 v. Chr.","1 f.Kr."
nl-nl,da-dk,"1 v.Chr.","1 f.Kr."
nl-nl,da-dk,"1. FC Brno",Brno
nl-nl,da-dk,"1. FC Kaiserslautern","1. FC Kaiserslautern"
nl-nl,da-dk,"1. FC Köln","1. FC Köln"
nl-nl,da-dk,"1. FC Nürnberg","1. FC Nürnberg"
nl-nl,da-dk,"1. FSV Mainz 05","Mainz 05"
nl-nl,da-dk,"10 april","10. april"
nl-nl,da-dk,"10 augustus","10. august"
nl-nl,da-dk,"10 december","10. december"
nl-nl,da-dk,"10 februari","10. februar"
nl-nl,da-dk,"10 januari","10. januar"
nl-nl,da-dk,"10 juli","10. juli"
nl-nl,da-dk,"10 juni","10. juni"
nl-nl,da-dk,"10 maart","10. marts"
nl-nl,da-dk,"10 mei","10. maj"
nl-nl,da-dk,"10 november","10. november"
nl-nl,da-dk,"10 oktober","10. oktober"
nl-nl,da-dk,"10 september","10. september"
nl-nl,da-dk,"10 v.Chr.","10 f.Kr."
nl-nl,da-dk,"100 meter",100-meter-løb
nl-nl,da-dk,"100 v.Chr.","100 f.Kr."
nl-nl,da-dk,"1000 v. Chr.","1000 f.Kr."
nl-nl,da-dk,"1000 v.Chr.","1000 f.Kr."
nl-nl,da-dk,"101 v.Chr.","101 f.Kr."
nl-nl,da-dk,"102 v.Chr.","102 f.Kr."
nl-nl,da-dk,"103 v.Chr.","103 f.Kr."
nl-nl,da-dk,"104 v.Chr.","104 f.Kr."
nl-nl,da-dk,"105 v.Chr.","105 f.Kr."
nl-nl,da-dk,"106 v.Chr.","106 f.Kr."
nl-nl,da-dk,"107 v.Chr.","107 f.Kr."
nl-nl,da-dk,"108 v.Chr.","108 f.Kr."
nl-nl,da-dk,"109 v.Chr.","109 f.Kr."
nl-nl,da-dk,"10e eeuw v. Chr.","10. århundrede f.Kr."
nl-nl,da-dk,"10e eeuw v.Chr.","10. århundrede f.Kr."
nl-nl,da-dk,"10e eeuw","10. århundrede"
nl-nl,da-dk,"10e millennium v. Chr.","10. årtusinde f.Kr."
nl-nl,da-dk,"10e millennium v.Chr.","10. årtusinde f.Kr."
nl-nl,da-dk,"11 april","11. april"
nl-nl,da-dk,"11 augustus","11. august"
nl-nl,da-dk,"11 december","11. december"
nl-nl,da-dk,"11 februari","11. februar"
nl-nl,da-dk,"11 januari","11. januar"
nl-nl,da-dk,"11 juli","11. juli"
nl-nl,da-dk,"11 juni","11. juni"
nl-nl,da-dk,"11 maart","11. marts"
nl-nl,da-dk,"11 mei","11. maj"
nl-nl,da-dk,"11 november","11. november"
nl-nl,da-dk,"11 oktober","11. oktober"
nl-nl,da-dk,"11 september","11. september"
nl-nl,da-dk,"11 v.Chr.","11 f.Kr."
