en-us,be-by,"'Salem's Lot","Жэрабя"
en-us,be-by,"1008 La Paz","Горад Ла-Пас"
en-us,be-by,"100s BC","2 стагоддзе да н.э."
en-us,be-by,"10th century BC","10 стагоддзе да н.э."
en-us,be-by,"10th century","10 стагоддзе"
en-us,be-by,"11'9""01 September 11","11 верасня"
en-us,be-by,"1112 Polonia","Польшча"
en-us,be-by,"1154 Astronomia","Астраномія"
en-us,be-by,"1163 Saga","Сагі"
en-us,be-by,"11th century BC","11 стагоддзе да н.э."
en-us,be-by,"11th century","11 стагоддзе"
en-us,be-by,"12 Victoria","Вікторыя"
en-us,be-by,"1279 Uganda",Уганда
en-us,be-by,"12th century BC","12 стагоддзе да н.э."
en-us,be-by,"12th century","12 стагоддзе"
en-us,be-by,"136 Austria","Аўстрыя"
en-us,be-by,"13th century BC","13 стагоддзе да н.э."
en-us,be-by,"13th century","13 стагоддзе"
en-us,be-by,"146 BC","146 да н.э."
en-us,be-by,"14th century BC","14 стагоддзе да н.э."
en-us,be-by,"14th century","14 стагоддзе"
en-us,be-by,"15th century BC","15 стагоддзе да н.э."
en-us,be-by,"15th century","15 стагоддзе"
en-us,be-by,"16th century BC","16 стагоддзе"
en-us,be-by,"16th century","16 стагоддзе"
en-us,be-by,"170 Maria","Багародзіца"
en-us,be-by,"17th century","17 стагоддзе"
en-us,be-by,"18th century BC","10 стагоддзе да н.э."
en-us,be-by,"18th century BC","6 стагоддзе да н.э."
en-us,be-by,"18th century BC","7 стагоддзе да н.э."
en-us,be-by,"18th century BC","8 стагоддзе да н.э."
en-us,be-by,"18th century BC","9 стагоддзе да н.э."
en-us,be-by,"18th century","18 стагоддзе"
en-us,be-by,"19367 Pink Floyd","Pink Floyd"
en-us,be-by,"1986 FIFA World Cup","ЧС па футболе, 1986"
en-us,be-by,"19th century","19 стагоддзе"
en-us,be-by,"1st century BC","1 стагоддзе да н.э."
en-us,be-by,"1st century","1 стагоддзе"
en-us,be-by,"2006 FIFA U-20 Women's World Championship","Чэмпіянат свету па футболе 2006 года"
en-us,be-by,"2006 FIFA World Cup qualification","Чэмпіянат свету па футболе 2006 года"
en-us,be-by,"2006 FIFA World Cup squads","Чэмпіянат свету па футболе 2006 года"
en-us,be-by,"2006 FIFA World Cup","Чэмпіянат свету па футболе 2006 года"
en-us,be-by,"2007 Peru earthquake","Землетрасенне ў Перу, 2007"
en-us,be-by,"200s BC","3 стагоддзе да н.э."
en-us,be-by,"2010 FIFA World Cup","Чэмпіянат свету па футболе 2006 года"
en-us,be-by,"20th century","20 стагоддзе"
en-us,be-by,"21st century","21 стагоддзе"
en-us,be-by,"227 Philosophia","Філасофія"
en-us,be-by,"232 Russia","Расія"
en-us,be-by,"265 Anna","Анна Іаанаўна, імператрыца расійская"
en-us,be-by,"28978 Ixion","Іксіён"
en-us,be-by,"2K11 Krug","Кацёлка"
en-us,be-by,"2K11 Krug","Кола"
en-us,be-by,"2nd century BC","2 стагоддзе да н.э."
en-us,be-by,"2nd century","2 стагоддзе"
en-us,be-by,"2nd millennium BC","11 стагоддзе да н.э."
en-us,be-by,"2nd millennium","11 стагоддзе"
en-us,be-by,"300s BC","4 стагоддзе да н.э."
en-us,be-by,"30th Waffen Grenadier Division of the SS","30 грэнадзёрская дывізія войскаў пры СС"
en-us,be-by,"327 Columbia","Рака Калумбія"
en-us,be-by,"3554 Amun","Амон"
en-us,be-by,"359 Georgia","Джорджыя"
en-us,be-by,"362 BC","362 да н.э."
en-us,be-by,"367 BC","367 да н.э."
en-us,be-by,"369 BC","369 да н.э."
en-us,be-by,"370 BC","370 да н.э."
en-us,be-by,"3rd century BC","3 стагоддзе да н.э."
en-us,be-by,"3rd century","3 стагоддзе"
en-us,be-by,"3rd millenium","21 стагоддзе"
en-us,be-by,"3rd millennium","21 стагоддзе"
en-us,be-by,"404 BC","404 да н.э."
en-us,be-by,"411 BC","411 да н.э."
en-us,be-by,"413 BC","413 да н.э."
en-us,be-by,"415 BC","415 да н.э."
en-us,be-by,"418 BC","418 да н.э."
en-us,be-by,"421 BC","421 да н.э."
en-us,be-by,"424 BC","424 да н.э."
en-us,be-by,"429 BC","429 да н.э."
en-us,be-by,"431 BC","431 да н.э."
en-us,be-by,"444 BC","444 да н.э."
en-us,be-by,"447 BC","447 да н.э."
en-us,be-by,"455 BC","455 да н.э."
en-us,be-by,"460 BC","460 да н.э."
en-us,be-by,"465 BC","465 да н.э."
en-us,be-by,"469 Argentina","Аргенціна"
en-us,be-by,"469 BC","469 да н.э."
en-us,be-by,"480 BC","480 да н.э."
en-us,be-by,"495 BC","495 да н.э."
en-us,be-by,"4th century BC","4 стагоддзе да н.э."
en-us,be-by,"4th century","4 стагоддзе"
en-us,be-by,"50 Virginia","Злучаныя Штаты Амерыкі"
en-us,be-by,"52 Europa","Еўропа"
en-us,be-by,"536 Merapi","Мерапі"
en-us,be-by,"5th century BC","5 стагоддзе да н.э."
en-us,be-by,"5th century","5 стагоддзе"
en-us,be-by,"600s BC","6 стагоддзе да н.э."
en-us,be-by,"604 BC","6 стагоддзе да н.э."
en-us,be-by,"659 Nestor","Нестар"
en-us,be-by,"67 Asia","Азія"
en-us,be-by,"6th century BC","6 стагоддзе да н.э."
en-us,be-by,"6th century","6 стагоддзе"
en-us,be-by,"700s BC","8 стагоддзе да н.э."
en-us,be-by,"725 Amanda","Імя Аманда"
en-us,be-by,"753 Tiflis","Тбілісі"
en-us,be-by,"780 Armenia","Арменія"
en-us,be-by,"789 Lena","Рака Лена"
en-us,be-by,"793 Arizona","Штат Арызона"
en-us,be-by,"7th century BC","7 стагоддзе да н.э."
en-us,be-by,"7th century","7 стагоддзе"
en-us,be-by,"800s BC","8 стагоддзе да н.э."
en-us,be-by,"849 Ara","Сузор'е Ахвярнік"
en-us,be-by,"8th century BC","8 стагоддзе да н.э."
en-us,be-by,"8th century","8 стагоддзе"
en-us,be-by,"900s BC","10 стагоддзе да н.э."
en-us,be-by,"90482 Orcus","2004 DW"
en-us,be-by,"916 America","Амерыка"
en-us,be-by,"9K38 Igla","Шаршатка"
en-us,be-by,"9th century BC","9 стагоддзе да н.э."
en-us,be-by,"9th century","9 стагоддзе"
en-us,be-by,"A Scene at the Sea","Сцэны ля мора"
en-us,be-by,"A Wedding","Вяселле"
en-us,be-by,"A bean","Бабовыя"
en-us,be-by,"A bit of fluff","Жанчына"
en-us,be-by,"A bit","Троху"
en-us,be-by,"A bit","Трошку"
en-us,be-by,"A brick","Цэгла"
en-us,be-by,"A bullet","Свінец"
en-us,be-by,"A force","Сіла"
en-us,be-by,"A great deal","Многа"
en-us,be-by,"A great deal","Шмат"
en-us,be-by,"A large number","Сіла"
en-us,be-by,"A little","Троху"
en-us,be-by,"A little","Трошку"
en-us,be-by,"A lot of","Многа"
en-us,be-by,"A lot of","Шмат"
en-us,be-by,"A lot","Мора"
en-us,be-by,"A mite","Троху"
en-us,be-by,"A mite","Трошку"
en-us,be-by,"A pair of compasses","Сузор'е Цыркуль"
en-us,be-by,"A piece of information","Інфармацыя"
en-us,be-by,"ABBA Gold: Greatest Hits","Золата"
en-us,be-by,"AS Monaco FC","Горад Манака"
en-us,be-by,"AS Val","Вал"
en-us,be-by,"ASP.NET AJAX","Атлас"
en-us,be-by,"AV-8 Harrier II","Harrier II"
en-us,be-by,"Abd al-Qadir","Абд аль-Кадзір"
en-us,be-by,"Abdülkerim Nadir Pasha","Абдул-Керым-Надзір-Паша"
en-us,be-by,"Abraham Lincoln","Абрахам Лінкальн"
en-us,be-by,"Abraham Ortelius","Абрагам Артэлій"
en-us,be-by,"Absolute magnitude","Абсалютная зорная велічыня"
en-us,be-by,"Academy Award","Тыгровы оскар"
en-us,be-by,"Academy Awards","Тыгровы оскар"
en-us,be-by,"Account for","Тлумачыць"
en-us,be-by,"Acquired Immune Deficiency Syndrome","СНІД"
en-us,be-by,"Acronym and initialism","Акронім"
en-us,be-by,"Across from","Супраць"
en-us,be-by,"Act of Parliament","Закон"
en-us,be-by,"Adam Mickiewicz","Адам Міцкевіч"
en-us,be-by,"Adam's apple","Арэхі"
en-us,be-by,"Adenosine triphosphate","Адэназінтрыфосфарная кіслата"
en-us,be-by,"Adept in","Ва"
en-us,be-by,"Adept in",У
en-us,be-by,"Adjustable spanner","Ключ"
en-us,be-by,"Adjustable wrench","Ключ"
en-us,be-by,"Adlersky City District","Сузор'е Арол"
en-us,be-by,"Adverbial participle","Дзеепрыслоўе"
en-us,be-by,"Aegyptus Province","Егіпет"
en-us,be-by,"Affine geometry","Афінная геаметрыя"
en-us,be-by,"Afonso V of Portugal","Афансу V"
en-us,be-by,"Africa Province","Афрыка"
en-us,be-by,"Afternoon tea","Вячэра"
en-us,be-by,"Age of majority","Паўналецце"
en-us,be-by,"Agia Triada, Kastoria","Сьвятая Троіца"
en-us,be-by,"Agin-Buryat Autonomous Okrug","Агінская Бурацкая аўтаномная акруга"
en-us,be-by,"Agricultural chemistry","Аграхімія"
en-us,be-by,"Air duct","Паветра"
en-us,be-by,"Air frost","Ад"
en-us,be-by,"Air pump","Сузор'е Насос"
en-us,be-by,"Airbus A380","Аэробус A380"
en-us,be-by,"Aircraft registration","Аўтамабільны знак"
en-us,be-by,"Airship Italia","Італія"
en-us,be-by,"Aktsyabar Raion","Акцябрскі раён"
en-us,be-by,"Al Jazirah","Востраў"
en-us,be-by,"Alabama - Montgomery","Штаты ЗША"
en-us,be-by,"Alain Boghossian","Ален Багасян"
en-us,be-by,"Alaksandar Milinkievič","Аляксандр Мілінкевіч"
en-us,be-by,"Alan Ball, Jr.","Бол Алан Джэймс"
en-us,be-by,"Alaska Peninsula","Штат Аляска"
en-us,be-by,"Alaska Range","Штат Аляска"
en-us,be-by,"Alaska Territory","Штат Аляска"
en-us,be-by,"Albert Einstein","Альберт Эйнштэйн"
en-us,be-by,"Alberto Gilardino","Альберта Джылардзіна"
en-us,be-by,"Alberto Moravia","Альбэрта Маравіа"
en-us,be-by,"Alberto Suppici","Супічы Альберта"
en-us,be-by,"Alcohol fuel","Сьпірт"
en-us,be-by,"Alcoholic beverage","Сьпірт"
en-us,be-by,"Aldan Airport","Рака Алдан"
en-us,be-by,"Aldan River","Рака Алдан"
en-us,be-by,"Aldan, Pennsylvania","Рака Алдан"
en-us,be-by,"Aldan, Russia","Рака Алдан"
en-us,be-by,"Aldo Olivieri","Аліўеры Альда"
en-us,be-by,"Alessandro Altobelli","Алясандра Альтабелі"
en-us,be-by,"Alessandro Del Piero","Дэль П'ера Алясандра"
en-us,be-by,"Alexander Barkashov","Аляксандр Пятровіч Баркашоў"
